method,max_depth,min_samples_split,min_samples_leaf,criterion,train_time,train_accuracy,val_accuracy,val_std,test_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,test_macro_f1,tree_depth,n_leaves,overfit_gap,train_test_gap
Holdout (80/20),,2,1,gini,0.011924982070922852,0.9722543352601156,0.8709677419354839,0.0,0.8671586715867159,0.8834943639291466,0.8195074611816898,0.8459556175861408,0.8719895812462433,0.8709677419354839,0.8701626534135084,0.8552511379668674,14,127,0.10128659332463175,0.10509566367339973
Holdout (70/30),,2,1,gini,0.0057375431060791016,0.9775429326287979,0.8615384615384616,0.0,0.8597785977859779,0.8380575029892707,0.8320362872994451,0.8346396411780108,0.8620452070937631,0.8615384615384616,0.8613813017805367,0.8460738372649229,12,108,0.11600447109033629,0.11776433484282
5-Fold CV,,2,1,gini,2.4344191551208496,0.9711177562108692,0.8844683393070489,0.005170492303357553,0.8745387453874539,0.8547120903740847,0.8519096240333525,0.8515719853227827,0.8861282042539237,0.8844683393070489,0.883850706276926,0.8662263662263663,15,160,0.08664941690382022,0.09657901082341525
10-Fold CV,,2,1,gini,2.057443857192993,0.969192953059084,0.8826027862725111,0.029791115550435857,0.8745387453874539,0.861028123487919,0.8660759765869924,0.8607891230074992,0.8860882824391242,0.8826027862725111,0.8825531983719692,0.8662263662263663,15,160,0.08659016678657294,0.09465420767163013
5-Fold CV,3.0,2,1,gini,1.6634407043457031,0.8465805176948031,0.8401135005973716,0.01416509864885432,0.8228782287822878,0.5593435453278592,0.6063745972790838,0.5801955789177862,0.7853068588526239,0.8401135005973716,0.8094472332373008,0.6216300765320373,3,8,0.006467017097431582,0.023702288912515357
5-Fold CV,5.0,2,1,gini,0.09380435943603516,0.8833192273291595,0.859536610343062,0.026141016965165412,0.8191881918819188,0.7852608882986892,0.7729036119435182,0.7741899881280163,0.8618289220273585,0.859536610343062,0.8590303268144375,0.730912074421155,5,25,0.023782616986097516,0.06413103544724064
5-Fold CV,10.0,2,1,gini,0.0840296745300293,0.967190057269487,0.8817033623485238,0.005480641192918382,0.8745387453874539,0.847724990471114,0.8543867738713263,0.8482360038891891,0.884457186756582,0.8817033623485238,0.8813890133654189,0.8721064187501727,10,144,0.08548669492096328,0.09265131188203313
5-Fold CV,15.0,2,1,gini,0.0821542739868164,0.9711177562108692,0.8835466803208739,0.004586882831166025,0.8819188191881919,0.8539548832838275,0.8513248287117152,0.8509099641872337,0.8851962128447421,0.8835466803208739,0.8829342479880966,0.8828873687049579,15,160,0.08757107588999524,0.08919893702267723
5-Fold CV,20.0,2,1,gini,0.0715017318725586,0.9711177562108692,0.8844683393070489,0.005170492303357553,0.8745387453874539,0.8547120903740847,0.8519096240333525,0.8515719853227827,0.8861282042539237,0.8844683393070489,0.883850706276926,0.8662263662263663,15,160,0.08664941690382022,0.09657901082341525
5-Fold CV,10.0,5,1,gini,0.07049107551574707,0.9521715681693788,0.894636456733231,0.005436985463823636,0.8929889298892989,0.861896300409468,0.8744084516289388,0.8667091689836003,0.8967045431198617,0.894636456733231,0.8945052369480095,0.891108845848907,10,121,0.05753511143614776,0.05918263828007986
