experiment,validation_strategy,max_depth,min_samples_split,min_samples_leaf,criterion,train_accuracy,val_accuracy,val_accuracy_sd,val_precision_macro,val_recall_macro,val_f1_macro,val_f1_weighted,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,test_f1_weighted,overfitting_gap_train_val,overfitting_gap_train_test,tree_depth,n_leaves,training_time
Exp1: Holdout 80/20,holdout,,2,1,gini,1.000000,0.333333,0.000000,0.358190,0.328333,0.330683,0.339302,,,,,,0.666667,,48,222,2.083299
Exp2: Holdout 70/30,holdout,,2,1,gini,1.000000,0.328889,0.000000,0.337238,0.325000,0.317616,0.322507,,,,,,0.671111,,47,204,1.802652
Exp3: Holdout 80/20 depth=5,holdout,5.000000,2,1,gini,0.126667,0.126667,0.000000,0.100593,0.113333,0.097151,0.104201,,,,,,0.000000,,5,6,0.379521
Exp4: 5-Fold CV,cv_5,,2,1,gini,1.000000,0.382667,0.033360,0.372081,0.383333,0.360102,0.361662,,,,,,0.617333,,48,268,11.799408
Exp5: 10-Fold CV,cv_10,,2,1,gini,1.000000,0.393333,0.058195,0.363600,0.399000,0.363205,0.367029,,,,,,0.606667,,48,268,29.310415
Exp6: 5-Fold CV depth=5,cv_5,5.000000,2,1,gini,0.126667,0.121333,0.002667,0.097867,0.117667,0.098067,0.098640,,,,,,0.005333,,5,6,2.746903
Exp7: 5-Fold CV depth=3,cv_5,3.000000,2,1,gini,0.090000,0.080000,0.004216,0.057816,0.077667,0.057970,0.058460,,,,,,0.010000,,3,4,2.054702
Exp8: 5-Fold CV depth=10,cv_5,10.000000,2,1,gini,0.222667,0.192000,0.012927,0.184902,0.187000,0.169784,0.171405,,,,,,0.030667,,10,14,4.193195
Exp9: 5-Fold CV depth=15,cv_5,15.000000,2,1,gini,0.384000,0.293333,0.026998,0.279425,0.287333,0.254909,0.261792,,,,,,0.090667,,15,30,6.129312
Exp10: 5-Fold CV depth=20,cv_5,20.000000,2,1,gini,0.595000,0.330667,0.022151,0.347752,0.324333,0.306590,0.312281,,,,,,0.264333,,20,68,8.306579
Exp11: 5-Fold CV depth=None,cv_5,,2,1,gini,1.000000,0.382667,0.033360,0.372081,0.383333,0.360102,0.361662,,,,,,0.617333,,48,268,11.790538
Exp12: 5-Fold CV split=5,cv_5,10.000000,5,1,gini,0.222667,0.192000,0.012927,0.184902,0.187000,0.169784,0.171405,,,,,,0.030667,,10,14,4.286030
Exp13: 5-Fold CV split=10,cv_5,10.000000,10,1,gini,0.222333,0.194667,0.011470,0.190902,0.189000,0.172850,0.175361,,,,,,0.027667,,10,14,4.644356
Exp14: 5-Fold CV split=20,cv_5,10.000000,20,1,gini,0.218333,0.194667,0.011470,0.183902,0.189000,0.170561,0.172718,,,,,,0.023667,,10,12,4.136780
Exp15: 5-Fold CV split=50,cv_5,10.000000,50,1,gini,0.207333,0.190667,0.012365,0.165902,0.186000,0.162044,0.162444,,,,,,0.016667,,10,11,4.203795
Exp16: 5-Fold CV leaf=5,cv_5,10.000000,2,5,gini,0.218667,0.193333,0.011926,0.185236,0.188000,0.169876,0.171804,,,,,,0.025333,,10,14,4.240226
Exp17: 5-Fold CV leaf=10,cv_5,10.000000,2,10,gini,0.239667,0.224000,0.012365,0.180520,0.212667,0.176213,0.181514,,,,,,0.015667,,10,12,4.039143
Exp18: 5-Fold CV leaf=20,cv_5,10.000000,2,20,gini,0.334000,0.236000,0.022940,0.118661,0.218333,0.145194,0.159118,,,,,,0.098000,,10,25,3.702323
Exp19: 5-Fold CV leaf=30,cv_5,10.000000,2,30,gini,0.241000,0.182667,0.019596,0.057624,0.166667,0.083184,0.093677,,,,,,0.058333,,9,18,2.641050
Exp20: 5-Fold CV entropy,cv_5,10.000000,2,1,entropy,0.985667,0.248000,0.047404,0.244848,0.239667,0.226659,0.236208,,,,,,0.737667,,10,274,10.059272
