experiment,validation_strategy,max_depth,min_samples_split,min_samples_leaf,criterion,train_accuracy,val_accuracy,val_accuracy_sd,val_precision_macro,val_recall_macro,val_f1_macro,val_f1_weighted,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,test_f1_weighted,overfitting_gap_train_val,overfitting_gap_train_test,tree_depth,n_leaves,training_time
Exp1: Holdout 80/20,holdout,,2,1,gini,0.993065,0.502100,0.000000,0.611283,0.612973,0.612057,0.501997,0.503658,0.608276,0.582936,0.593416,0.503741,0.490965,0.489407,49,63650,8.714758
Exp2: Holdout 70/30,holdout,,2,1,gini,0.992898,0.503067,0.000000,0.610782,0.613248,0.612005,0.503064,0.504330,0.598888,0.583314,0.590006,0.504444,0.489831,0.488568,42,55778,7.383096
Exp3: Holdout 80/20 depth=5,holdout,5.000000,2,1,gini,0.503401,0.501050,0.000000,0.421678,0.432537,0.421547,0.499898,0.502283,0.425640,0.430359,0.423284,0.501552,0.002351,0.001117,5,32,2.278460
Exp4: 5-Fold CV,cv_5,,2,1,gini,0.991760,0.466440,0.004475,0.562644,0.575817,0.567142,0.466384,0.508057,0.615372,0.586260,0.598601,0.508065,0.525320,0.483703,45,79227,7.607414
Exp5: 10-Fold CV,cv_10,,2,1,gini,0.991929,0.470160,0.005288,0.567180,0.568171,0.565967,0.470174,0.508057,0.615372,0.586260,0.598601,0.508065,0.521769,0.483872,45,79227,20.892110
Exp6: 5-Fold CV depth=5,cv_5,5.000000,2,1,gini,0.504570,0.503000,0.004262,0.432308,0.428700,0.422511,0.501282,0.502421,0.425648,0.430430,0.423344,0.501693,0.001570,0.002149,5,32,2.423243
Exp7: 5-Fold CV depth=3,cv_5,3.000000,2,1,gini,0.454625,0.454600,0.004203,0.249852,0.279846,0.254433,0.443712,0.456739,0.250999,0.280836,0.255815,0.445551,0.000025,-0.002114,3,8,1.343387
Exp8: 5-Fold CV depth=10,cv_5,10.000000,2,1,gini,0.562490,0.510360,0.003658,0.658112,0.600092,0.618857,0.508542,0.524124,0.681040,0.585674,0.621601,0.522042,0.052130,0.038366,10,812,4.605527
Exp9: 5-Fold CV depth=15,cv_5,15.000000,2,1,gini,0.729775,0.496400,0.003742,0.619908,0.592646,0.600163,0.494356,0.531088,0.693153,0.591678,0.627256,0.528867,0.233375,0.198687,15,8525,6.335294
Exp10: 5-Fold CV depth=20,cv_5,20.000000,2,1,gini,0.908310,0.479300,0.003221,0.578570,0.586510,0.580374,0.478600,0.523482,0.654679,0.591691,0.617317,0.521559,0.429010,0.384828,20,33566,7.528862
Exp11: 5-Fold CV depth=None,cv_5,,2,1,gini,0.991760,0.466440,0.004475,0.562644,0.575817,0.567142,0.466384,0.508057,0.615372,0.586260,0.598601,0.508065,0.525320,0.483703,45,79227,7.716564
Exp12: 5-Fold CV split=10,cv_5,10.000000,10,1,gini,0.558805,0.511000,0.003563,0.661594,0.600947,0.620383,0.509245,0.524215,0.682236,0.585749,0.622192,0.522091,0.047805,0.034590,10,735,4.813172
Exp13: 5-Fold CV split=20,cv_5,10.000000,20,1,gini,0.555160,0.511140,0.003413,0.624195,0.601219,0.594393,0.509371,0.523956,0.681944,0.585643,0.622035,0.521846,0.044020,0.031204,10,672,4.544699
Exp14: 5-Fold CV split=50,cv_5,10.000000,50,1,gini,0.548825,0.511880,0.003424,0.624911,0.601805,0.595028,0.510064,0.523788,0.680740,0.585403,0.621188,0.521685,0.036945,0.025037,10,573,4.492635
Exp15: 5-Fold CV split=100,cv_5,10.000000,100,1,gini,0.543205,0.512800,0.002967,0.562477,0.512683,0.526549,0.510850,0.524139,0.640834,0.585506,0.602465,0.521987,0.030405,0.019066,10,518,0.816709
Exp16: 5-Fold CV leaf=10,cv_5,10.000000,2,10,gini,0.554225,0.510840,0.003824,0.617861,0.603214,0.592859,0.508898,0.524414,0.681214,0.585848,0.621849,0.522328,0.043385,0.029811,10,695,4.324839
Exp17: 5-Fold CV leaf=20,cv_5,10.000000,2,20,gini,0.549790,0.510320,0.004767,0.607920,0.594011,0.577816,0.508424,0.524475,0.680242,0.585933,0.621537,0.522356,0.039470,0.025315,10,616,4.332211
Exp18: 5-Fold CV leaf=50,cv_5,10.000000,2,50,gini,0.540560,0.506480,0.004709,0.559697,0.510106,0.523222,0.504720,0.524338,0.629934,0.587454,0.598857,0.522072,0.034080,0.016222,10,529,4.379111
Exp19: 5-Fold CV leaf=100,cv_5,10.000000,2,100,gini,0.531270,0.510620,0.005894,0.540288,0.501193,0.504461,0.508774,0.523971,0.611036,0.579944,0.579349,0.521844,0.020650,0.007299,10,452,4.125636
Exp20: 5-Fold CV entropy,cv_5,10.000000,2,1,entropy,0.556250,0.508800,0.006161,0.647815,0.600778,0.616504,0.507623,0.525544,0.681436,0.589896,0.623717,0.523702,0.047450,0.030706,10,903,4.942284
