experiment,validation_strategy,max_depth,min_samples_split,min_samples_leaf,criterion,train_accuracy,val_accuracy,val_accuracy_sd,val_precision_macro,val_recall_macro,val_f1_macro,val_f1_weighted,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,test_f1_weighted,overfitting_gap_train_val,overfitting_gap_train_test,tree_depth,n_leaves,training_time
Exp1: Holdout 80/20,holdout,,2,1,gini,1.000000,0.977273,0.000000,0.973684,0.980769,0.976683,0.977357,,,,,,0.022727,,6,12,0.002958
Exp2: Holdout 70/30,holdout,,2,1,gini,1.000000,0.954545,0.000000,0.952004,0.955827,0.953684,0.954641,,,,,,0.045455,,6,12,0.002471
Exp3: Holdout 80/20 depth=5,holdout,5.000000,2,1,gini,0.988506,0.977273,0.000000,0.973684,0.980769,0.976683,0.977357,,,,,,0.011233,,5,10,0.002415
Exp4: 5-Fold CV,cv_5,,2,1,gini,0.998851,0.940486,0.023144,0.938943,0.941576,0.939107,0.940636,,,,,,0.058364,,6,12,0.037188
Exp5: 10-Fold CV,cv_10,,2,1,gini,0.997959,0.926840,0.041384,0.927512,0.924380,0.924605,0.926764,,,,,,0.071119,,6,12,0.073102
Exp6: 5-Fold CV depth=5,cv_5,5.000000,2,1,gini,0.997701,0.940486,0.023144,0.938943,0.941576,0.939107,0.940636,,,,,,0.057215,,5,11,0.027939
Exp7: 5-Fold CV depth=3,cv_5,3.000000,2,1,gini,0.975915,0.931290,0.035079,0.931712,0.928602,0.928778,0.931012,,,,,,0.044625,,3,6,0.024815
Exp8: 5-Fold CV depth=10,cv_5,10.000000,2,1,gini,0.998851,0.940486,0.023144,0.938943,0.941576,0.939107,0.940636,,,,,,0.058364,,6,12,0.020576
Exp9: 5-Fold CV depth=15,cv_5,15.000000,2,1,gini,0.998851,0.940486,0.023144,0.938943,0.941576,0.939107,0.940636,,,,,,0.058364,,6,12,0.018749
Exp10: 5-Fold CV depth=20,cv_5,20.000000,2,1,gini,0.998851,0.940486,0.023144,0.938943,0.941576,0.939107,0.940636,,,,,,0.058364,,6,12,0.020164
Exp11: 5-Fold CV depth=None,cv_5,,2,1,gini,0.998851,0.940486,0.023144,0.938943,0.941576,0.939107,0.940636,,,,,,0.058364,,6,12,0.030402
Exp12: 5-Fold CV split=5,cv_5,10.000000,5,1,gini,0.985097,0.940381,0.011154,0.940084,0.939713,0.938716,0.940384,,,,,,0.044716,,6,10,0.028998
Exp13: 5-Fold CV split=10,cv_5,10.000000,10,1,gini,0.979356,0.935835,0.026422,0.942369,0.930739,0.932635,0.935019,,,,,,0.043521,,4,8,0.022573
Exp14: 5-Fold CV split=20,cv_5,10.000000,20,1,gini,0.964447,0.958668,0.022577,0.957645,0.958378,0.957467,0.958663,,,,,,0.005779,,2,4,0.022330
Exp15: 5-Fold CV split=50,cv_5,10.000000,50,1,gini,0.964447,0.958668,0.022577,0.957645,0.958378,0.957467,0.958663,,,,,,0.005779,,2,4,0.021825
Exp16: 5-Fold CV leaf=5,cv_5,10.000000,2,5,gini,0.964453,0.954228,0.035143,0.959498,0.951113,0.951599,0.953459,,,,,,0.010225,,4,7,0.026582
Exp17: 5-Fold CV leaf=10,cv_5,10.000000,2,10,gini,0.963304,0.963319,0.018213,0.962338,0.963933,0.962268,0.963319,,,,,,-0.000015,,2,4,0.023441
Exp18: 5-Fold CV leaf=20,cv_5,10.000000,2,20,gini,0.963304,0.963319,0.018213,0.962338,0.963933,0.962268,0.963319,,,,,,-0.000015,,3,5,0.021042
Exp19: 5-Fold CV leaf=30,cv_5,10.000000,2,30,gini,0.963304,0.963319,0.018213,0.962338,0.963933,0.962268,0.963319,,,,,,-0.000015,,2,4,0.020364
Exp20: 5-Fold CV entropy,cv_5,10.000000,2,1,entropy,1.000000,0.945137,0.022952,0.941781,0.948395,0.944047,0.945369,,,,,,0.054863,,7,14,0.022481
