dataset,model,r2_mean,r2_std,mse_mean,mse_std,train_time_mean,train_time_std,predict_time_mean,predict_time_std
Bikes,Custom RegressionTree,0.8162718756921696,0.0132326982317072,76418.96720878588,5625.099357065124,7.821979331970215,0.4714692519414411,0.0033684253692626955,8.359410991101014e-05
Bikes,"Custom RandomForest (n=10, d=5)",0.6789345895260073,0.006731211900375893,133535.05887963498,3145.9097121541427,1.812103796005249,0.3121796595493594,0.03840198516845703,0.0031517429885710873
Bikes,"Custom RandomForest (n=50, d=10)",0.8118951589515293,0.011607391294640624,78226.01746117088,4739.201157069813,13.69801173210144,2.150299929241011,0.34768242835998536,0.041758891240613466
Bikes,"Custom RandomForest (n=100, d=15)",0.8410303446991589,0.011176205210816975,66108.3195675508,4560.3438375901615,91.64948596954346,35.99981659998102,0.8952417850494385,0.08385727984987143
Bikes,sklearn DecisionTreeRegressor,0.8153712922031829,0.0130986270240465,76790.68058553406,5533.3406795277515,0.05317840576171875,0.011279645868624769,0.0025348663330078125,0.0009835835889982305
Bikes,sklearn RandomForestRegressor,0.8550915031483501,0.008428524395612421,60263.51660217488,3467.011585016478,0.2560417175292969,0.019452936942144793,0.06543927192687989,0.004649081624138178
Bikes,sklearn GradientBoostingRegressor,0.8696036744186013,0.005297577566109171,54226.392641782375,2105.0968162512277,2.397926998138428,0.07137545798718337,0.008984041213989259,0.003512989594923955
Cars,Custom RegressionTree,0.8122386167451602,0.004845290363194525,1464902.484472027,30475.103100916913,5.2824805736541744,0.32701509151817354,0.0038804531097412108,0.000758066820977179
Cars,"Custom RandomForest (n=10, d=5)",0.5596882004393446,0.009267866035883643,3435761.541667511,75999.57049937159,1.4088597297668457,0.26216566112777845,0.04560108184814453,0.004111970018663039
Cars,"Custom RandomForest (n=50, d=10)",0.7662387441388324,0.00717790994563042,1824323.995118032,66004.708724728,16.44067268371582,1.5588735962779745,0.4658015727996826,0.0416364716918312
Cars,"Custom RandomForest (n=100, d=15)",0.8024127139033407,0.005355862465604393,1541835.8592100549,45200.47090478428,132.61764206886292,15.027041396116738,1.0641698360443115,0.03367463435594781
Cars,sklearn DecisionTreeRegressor,0.8125201027291619,0.004833224718682222,1462643.377224498,27117.04979129967,0.04562540054321289,0.002387479668751729,0.0030385971069335936,0.0005703715009727045
Cars,sklearn RandomForestRegressor,0.8542523174536136,0.005541253947197186,1136785.695293812,28285.781310352082,0.24975428581237794,0.014916916311344161,0.07074122428894043,0.00555867243960147
Cars,sklearn GradientBoostingRegressor,0.8625567688183364,0.005191472731371474,1071960.9700436834,23859.315655456037,1.9303609371185302,0.02492196914459369,0.010181379318237305,0.0002392078876409386
Houses,Custom RegressionTree,0.7147959586988417,0.0936240190698005,1774766039.3770256,525298172.5965003,5.213436269760132,0.20708659038486163,0.0013361454010009765,0.0003325425351010725
Houses,"Custom RandomForest (n=10, d=5)",0.7700620130252492,0.03555747069374584,1448349079.611476,292098706.8103483,0.39990911483764646,0.012870590942495836,0.009169721603393554,0.0004135869185226556
Houses,"Custom RandomForest (n=50, d=10)",0.8326666719565674,0.04002955475401949,1050782897.3022335,247810659.10840473,6.626959753036499,2.6254331280954157,0.06856460571289062,0.002183339912796475
Houses,"Custom RandomForest (n=100, d=15)",0.8316407068800995,0.04224745154987554,1054840733.7846053,250426701.44267446,39.64899845123291,33.50253874755905,0.15139532089233398,0.00952017449193395
Houses,sklearn DecisionTreeRegressor,0.7107916642790437,0.09612784777176751,1805363982.4089284,560957394.9057817,0.04152073860168457,0.006583449852201515,0.0031515121459960937,0.0003147537970211448
Houses,sklearn RandomForestRegressor,0.8351037410363344,0.07801384421873878,1011092931.8059623,398318495.826165,0.21565966606140136,0.019059276694143805,0.05619869232177734,0.004461944349609054
Houses,sklearn GradientBoostingRegressor,0.8353524965743852,0.11834584613122223,991476323.2599453,619108978.8634953,1.7829118251800538,0.024645142513203145,0.004916954040527344,0.00020405897287273543
