make_year,mileage_kmpl,engine_cc,owner_count,accidents_reported,fuel_type_Electric,fuel_type_Petrol,brand_Chevrolet,brand_Ford,brand_Honda,brand_Hyundai,brand_Kia,brand_Nissan,brand_Tesla,brand_Toyota,brand_Volkswagen,transmission_Manual,color_Blue,color_Gray,color_Red,color_Silver,color_White,service_history_Partial,insurance_valid_Yes,price_usd
2001,8.17,4000,4,0,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,8587.64
2014,17.59,1500,4,0,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,5943.5
2023,18.09,2500,5,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,9273.58
2009,11.28,800,1,0,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,6836.24
2005,12.23,1000,2,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,4625.79
2002,13.77,2500,4,1,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,6856.03
2023,12.5,1000,3,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,6806.77
2015,17.46,2000,5,0,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,7701.84
2001,14.99,5000,2,1,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,8730.52
2020,19.59,4000,4,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,10812.16
2013,21.25,1800,2,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,10070.16
2017,20.91,5000,5,0,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,True,9638.93
2005,15.95,2500,3,1,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,5543.9
2005,19.42,800,4,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,5855.47
2018,23.18,3000,3,0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,9773.77
2015,20.23,4000,5,1,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,9468.89
1998,27.29,1800,3,2,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,6491.29
2002,22.91,2000,5,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,6202.99
2018,26.59,3000,3,0,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,9921.66
1997,5.54,1500,2,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,1223.8
